id,arquivo_saida,status,fonte_usada,rosto_px,escala,flag_tecnica,licenca,flag_licenca,credito,origem,revisao_manual
001-luiz-inacio-lula-da-silva,001_luiz-inacio-lula-da-silva.png,ok,retrato_neutro,886,0.51,,CC BY 2.0,,Palácio do Planalto,https://commons.wikimedia.org/wiki/File%3AFoto_oficial_de_Luiz_In%C3%A1cio_Lula_da_Silva_%28estreita%29.jpg,
002-flavio-bolsonaro,002_flavio-bolsonaro.png,ok,retrato_neutro,558,0.81,,© Agência Senado / atribuição Commons,REVISAR LICENCA,Agência Senado,https://commons.wikimedia.org/wiki/File%3AFoto_oficial_do_senador_Fl%C3%A1vio_Bolsonaro_%28v._AgSen%29.jpg,
003-renan-santos,003_renan-santos.png,ok,retrato_neutro,642,0.7,,CC BY 4.0,,Romerito Pontes,https://commons.wikimedia.org/wiki/File%3A2026-01-11_Renan_Santos_%2855036684938%29_%283x4%29.jpg,
004-ronaldo-caiado,004_ronaldo-caiado.png,ok,retrato_neutro,510,0.88,,CC BY 2.0,,desconhecido (extração Commons),https://commons.wikimedia.org/wiki/File%3ARonaldo_Caiado_%28cropped%29.jpg,
005-augusto-cury,005_augusto-cury.png,ok,retrato_neutro,948,0.47,,CC BY-SA 2.0,,Lima Andruška,https://commons.wikimedia.org/wiki/File%3AAugusto_Cury%2C_escritor_%2828339139296%29_%28cropped%29.jpg,CONFERIR IDENTIDADE (cabelo escuro; ficha do prompt dizia cabelo branco)
006-romeu-zema,006_romeu-zema.png,ok,retrato_neutro,585,0.77,,CC BY 4.0,,Governo do Estado de São Paulo,https://commons.wikimedia.org/wiki/File%3ARomeu_Zema_2025_%28cropped%29.jpg,
007-pablo-marcal,007_pablo-marcal.png,ok,retrato_neutro,351,1.28,,CC BY 3.0,,TV Brasil Central,https://commons.wikimedia.org/wiki/File%3APablo_Mar%C3%A7al.png,
008-geraldo-alckmin,008_geraldo-alckmin.png,ok,retrato_neutro,611,0.74,,CC BY 2.0,,Dênio Simões/Agência Brasília,https://commons.wikimedia.org/wiki/File%3AGeraldo_Alckmin_2016_%28cropped%29.jpg,
009-gilberto-kassab,009_gilberto-kassab.png,ok,retrato_neutro,453,0.99,,CC BY 3.0 br,,Fabio Pozzebom/ABr,https://commons.wikimedia.org/wiki/File%3AGilberto_Kassab.jpg,
010-eduardo-girao,010_eduardo-girao.png,ok,retrato_neutro,542,0.83,,© Agência Senado / atribuição Commons,REVISAR LICENCA,Agência Senado,https://commons.wikimedia.org/wiki/File%3ASenador_Eduardo_Gir%C3%A3o.jpg,
011-tarcisio-de-freitas,011_tarcisio-de-freitas.png,ok,retrato_neutro,398,1.13,,CC BY 2.0,,Ciete Silvério/Governo do Estado de SP,https://commons.wikimedia.org/wiki/File%3AGovernador_do_Estado_de_S%C3%A3o_Paulo%2C_Tarc%C3%ADsio_de_Freitas_-_Foto_Oficial.jpg,
012-fernando-haddad,012_fernando-haddad.png,ok,retrato_neutro,204,2.2,upscale_forte outro_rosto,CC BY 2.0,,Ricardo Stuckert / Palácio do Planalto,https://commons.wikimedia.org/wiki/File%3A01.01.2023_-_Posse_de_Fernando_Haddad%2C_Ministro_de_Estado_da_Fazenda_%2852626309956%29.jpg,todas as fontes sao cena/gesto (braco do Lula no quadro) — substituir fonte
013-jeronimo-rodrigues,013_jeronimo-rodrigues.png,ok,retrato_neutro,150,2.99,upscale_forte outro_rosto,CC BY-SA 4.0,,Ajmcbarreto,https://commons.wikimedia.org/wiki/File%3AJeronimo_Rodrigues_em_Araci_BA_23.jpg,"so foto de grupo; recorte automatico isolou o governador, conferir — ideal substituir"
014-acm-neto,014_acm-neto.png,ok,retrato_neutro,614,0.73,,CC BY 4.0,,Portal de Dados Abertos do Tribunal Superior Eleitoral do Brasil (TSE),https://commons.wikimedia.org/wiki/File%3AACM_Neto_%28foto_oficial_para_o_TSE%29.png,
015-elmano-de-freitas,015_elmano-de-freitas.png,ok,retrato_neutro,373,1.2,,CC BY-SA 4.0,,Uira,https://commons.wikimedia.org/wiki/File%3AElmano_de_Freitas_2022.jpg,
016-ciro-gomes,016_ciro-gomes.png,ok,retrato_neutro,420,1.07,,CC BY-SA 4.0,,Eliasferro21,https://commons.wikimedia.org/wiki/File%3ACiro_Ferreira_Gomes_%28cropped%29.jpg,
017-joao-campos,017_joao-campos.png,ok,retrato_neutro,521,0.86,,CC BY 2.0,,Cadu Gomes/VPR,https://commons.wikimedia.org/wiki/File%3AJo%C3%A3o_Henrique_Campos%2C_January_2025_%28cropped%29.jpg,
018-raquel-lyra,018_raquel-lyra.png,ok,retrato_neutro,553,0.81,,CC BY 2.0,,Palácio do Planalto,https://commons.wikimedia.org/wiki/File%3ARaquel_Lyra_2023.jpg,
019-douglas-ruas,019_douglas-ruas.png,ok,retrato_neutro,373,1.21,,CC BY 3.0,,TV ALERJ,https://commons.wikimedia.org/wiki/File%3AEntrevista_do_Secretario_de_Cidades_do_RJ%2C_Douglas_Ruas_2_%28cropped%29.png,
020-eduardo-paes,020_eduardo-paes.png,ok,retrato_neutro,630,0.71,,CC BY 3.0 br,,Prefeitura da Cidade do Rio de Janeiro,https://commons.wikimedia.org/wiki/File%3AEduardo_Paes%2C_prefeito_em_terceiro_mandato_%28cropped%29.jpg,
021-mateus-simoes,021_mateus-simoes.png,ok,retrato_neutro,680,0.66,,CC BY 2.0,,Jonas Pereira/Agência Senado,https://commons.wikimedia.org/wiki/File%3AMateus_Sim%C3%B5es%2C_April_2024_%28cropped%29.jpg,
022-ratinho-junior,022_ratinho-junior.png,ok,retrato_neutro,393,1.14,,domínio público / PDM,,Assembleia Legislativa do Paraná,https://commons.wikimedia.org/wiki/File%3ARatinho_J%C3%BAnior_as_governor_of_Paran%C3%A1%2C_January_2023_%28cropped%29.jpg,
023-eduardo-leite,023_eduardo-leite.png,ok,retrato_neutro,564,0.8,,domínio público / PDM,,Gustavo Vara,https://commons.wikimedia.org/wiki/File%3AEduardo_Leite_no_Pal%C3%A1cio_Piratini_em_mar%C3%A7o_de_2019.jpg,
024-claudio-castro,024_claudio-castro.png,ok,retrato_neutro,453,0.99,,CC BY 2.0,,Alan Santos/PR,https://commons.wikimedia.org/wiki/File%3ACl%C3%A1udio_Castro%2C_governador_do_Rio_de_Janeiro.jpg,
025-marcio-franca,025_marcio-franca.png,ok,retrato_neutro,452,0.99,,CC BY 2.0,,Governo do Estado de São Paulo,https://commons.wikimedia.org/wiki/File%3AGovernador_Marcio_Fran%C3%A7a_%2852576087031%29_%28cropped%29.jpg,
026-alexandre-kalil,026_alexandre-kalil.png,ok,iconica_contextual,91,4.91,upscale_forte outro_rosto,CC BY 2.0,,Alan Santos/PR,https://commons.wikimedia.org/wiki/File%3AMichel_Temer_com_Alexandre_Kalil_e_Vittorio_Medioli.jpg,usada iconica_contextual (careca c/ barba); retrato_neutro parece outra pessoa — conferir
027-hana-ghassan,027_hana-ghassan.png,ok,retrato_neutro,609,0.74,,CC0 / domínio público,,Tribunal de Justiça do Estado do Pará,https://commons.wikimedia.org/wiki/File%3A2023-06-30_Medalha_da_Ordem_do_M%C3%A9rito_Dom_Pedro_II_09_%28Hana_Ghassan%29.jpg,
028-michelle-bolsonaro,028_michelle-bolsonaro.png,ok,retrato_neutro,571,0.79,,CC BY 2.0,,Palácio do Planalto,https://commons.wikimedia.org/wiki/File%3AMichelle_Bolsonaro_%2848679345758%29_%28cropped%29.jpg,
029-helder-barbalho,029_helder-barbalho.png,ok,retrato_neutro,575,0.78,,CC BY 2.0,,Palácio do Planalto,https://commons.wikimedia.org/wiki/File%3AHelder_Barbalho%2C_2023_%2852992242395%29_%28cropped%29.jpg,
030-mauro-mendes,030_mauro-mendes.png,ok,retrato_neutro,371,1.21,,CC BY 2.0,,Alan Santos/PR,https://commons.wikimedia.org/wiki/File%3AMauro_Mendes_em_5_de_junho_de_2019.jpg,
031-gleisi-hoffmann,031_gleisi-hoffmann.png,ok,retrato_neutro,494,0.91,,CC BY 3.0,,Zeca Ribeiro/Câmara dos Deputados,https://commons.wikimedia.org/wiki/File%3AGleisi_Hoffmann_in_2024_%28cropped%29.jpg,
032-arthur-lira,032_arthur-lira.png,ok,retrato_neutro,554,0.81,,CC BY 3.0,,Câmara dos Deputados,https://commons.wikimedia.org/wiki/File%3ADeputado_Arthur_Lira_em_2016_%28cropped%29.jpg,
033-marina-silva,033_marina-silva.png,ok,retrato_neutro,408,1.1,,CC BY 2.0,,Palácio do Planalto,https://commons.wikimedia.org/wiki/File%3A01.01.2023_-_Posse_de_Marina_Silva%2C_Ministra_de_Estado_do_Meio_Ambiente_%2852623748361%29_%28cropped%29.jpg,
034-simone-tebet,034_simone-tebet.png,ok,retrato_neutro,588,0.76,,CC BY 2.0,,Agência Senado,https://commons.wikimedia.org/wiki/File%3AFoto_Oficial_de_Simone_Tebet_como_Senadora_%282%C2%AA_vers%C3%A3o%29_%28cropped%29.jpg,
035-rui-costa,035_rui-costa.png,ok,retrato_expressivo_discurso,736,0.61,outro_rosto,CC BY 2.0,,Agência Senado,https://commons.wikimedia.org/wiki/File%3AInaugura%C3%A7%C3%A3o_da_2%C2%AA_Sess%C3%A3o_Legislativa_Ordin%C3%A1ria_da_57%C2%AA_Legislatura_%28cropped%29.jpg,usada retrato_expressivo (neutra era abraco com Lula)
036-hugo-motta,036_hugo-motta.png,ok,retrato_neutro,652,0.69,,CC BY 4.0,,Gilclécio Lucena,https://commons.wikimedia.org/wiki/File%3ADeputado_Federal_Hugo_Motta_%28cropped%29.jpg,
